"window_start","k_mgl","mg_mgl","ca_mgl","no3n_mgl","nh4n_mgl","site"
1992-09-01,1.26777777777778,3.16555555555556,6.64111111111111,49.125,NA,"BQ2"
1992-11-03,1.21444444444444,2.60444444444444,5.69444444444444,66.2857142857143,NA,"BQ2"
1993-01-05,1.27,3.18111111111111,6.49,135,NA,"BQ2"
1993-03-09,1.30444444444444,3.24333333333333,6.34777777777778,144,NA,"BQ2"
1993-05-11,1.46888888888889,2.96111111111111,6.17111111111111,72.75,NA,"BQ2"
1993-07-13,1.41222222222222,3.17777777777778,7.20555555555556,23.5,NA,"BQ2"
1993-09-14,1.33,2.85333333333333,6.41444444444444,55.3333333333333,NA,"BQ2"
1993-11-16,1.4,2.61555555555556,6.37111111111111,56.6666666666667,NA,"BQ2"
1994-01-18,1.35333333333333,2.82888888888889,5.91666666666667,12.3333333333333,NA,"BQ2"
1994-03-22,1.27333333333333,3.05666666666667,6.77,30.1666666666667,NA,"BQ2"
1994-05-24,1.46125,3.11875,6.51,87.625,NA,"BQ2"
1994-07-26,0.95,1.93333333333333,3.91333333333333,NA,NA,"BQ2"
1994-09-27,1.2125,2.125,4.5125,NA,NA,"BQ2"
1994-11-29,1.292,2.744,5.898,NA,NA,"BQ2"
1988-01-05,0.728,2.556,3.39533333333333,165.4375,33.1764705882353,"BQ3"
1988-03-08,0.555555555555556,2.61444444444444,3.47666666666667,205.222222222222,26.3333333333333,"BQ3"
1988-05-10,0.688,2.339,2.613,196,59.5714285714286,"BQ3"
1988-07-12,0.632857142857143,2.25928571428571,2.71071428571429,134.666666666667,28.6,"BQ3"
1988-09-13,0.6275,2.48875,3.33125,168.25,41.75,"BQ3"
1988-11-15,0.736666666666667,2.66,3.815,191.333333333333,NA,"BQ3"
1989-01-17,0.768888888888889,2.80333333333333,3.80111111111111,163.666666666667,NA,"BQ3"
1989-03-21,0.734444444444444,2.73555555555556,3.90333333333333,164.666666666667,NA,"BQ3"
1989-05-23,0.751111111111111,2.80666666666667,3.75333333333333,92.2222222222222,NA,"BQ3"
1989-07-25,0.81125,2.43444444444444,3.61666666666667,155.875,NA,"BQ3"
1989-09-26,1.47083333333333,3.32545454545455,3.61636363636364,444.625,NA,"BQ3"
1989-11-28,1.26888888888889,3.56666666666667,5.14333333333333,218.625,NA,"BQ3"
1990-01-30,1.45222222222222,3.37555555555556,4.81,381.777777777778,NA,"BQ3"
1990-04-03,1.34785714285714,2.67428571428571,3.68857142857143,352.307692307692,NA,"BQ3"
1990-06-05,1.18555555555556,3.36777777777778,4.61444444444444,224.25,NA,"BQ3"
1990-08-07,0.994444444444444,3.45222222222222,5.59333333333333,151.777777777778,NA,"BQ3"
1990-10-09,0.934,2.934,5.102,155.111111111111,NA,"BQ3"
1990-12-11,0.946,3.08,4.677,170.625,NA,"BQ3"
1991-02-12,0.79,3.772,4.788,146.3,NA,"BQ3"
1991-04-16,0.892222222222222,3.24333333333333,4.21666666666667,56.1428571428571,NA,"BQ3"
1991-06-18,0.858888888888889,3.53555555555556,4.44777777777778,118.625,NA,"BQ3"
1991-08-20,1.05,3.249,4.675,114.8,NA,"BQ3"
1991-10-22,0.877692307692308,2.81384615384615,3.82076923076923,167,NA,"BQ3"
1991-12-24,1.03333333333333,3.13,4.88888888888889,179.555555555556,NA,"BQ3"
